STATE-DISTRICT;Name;Party;Office Room;Phone;Committee Assignment
CA-32;Sherman  Brad;D;2365 RHOB;(202) 225-5911;Financial Services|Foreign Affairs
CA-33;Aguilar  Pete;D;108 CHOB;(202) 225-3201;Appropriations
CA-34;Gomez  Jimmy;D;506 CHOB;(202) 225-6235;Oversight and Accountability|Intelligence
CA-35;Torres  Norma;D;2227 RHOB;(202) 225-6161;Appropriations|House Administration
CA-36;Lieu  Ted;D;2454 RHOB;(202) 225-3976;Foreign Affairs|Judiciary|Science  Space  and Technology
CA-37;Kamlager-Dove  Sydney;D;1419 LHOB;(202) 225-7084;Foreign Affairs|Natural Resources
CA-38;Sanchez  Linda;D;2428 RHOB;(202) 225-6676;Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means
CA-39;Takano  Mark;D;2078 RHOB;(202) 225-2305;Education and the Workforce|Veterans' Affairs
CA-40;Kim  Young;R;1306 LHOB;(202) 225-4111;Financial Services|Foreign Affairs
CA-41;Calvert  Ken;R;2205 RHOB;(202) 225-1986;Appropriations
CA-42;Garcia  Robert;D;1305 LHOB;(202) 225-7924;Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic
CA-43;Waters  Maxine;D;2221 RHOB;(202) 225-2201;Financial Services
CA-44;Barragan  Nanette;D;2312 RHOB;(202) 225-8220;Energy and Commerce
CA-45;Steel  Michelle;R;1127 LHOB;(202) 225-2415;Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China
CA-46;Correa  J.;D;2301 RHOB;(202) 225-2965;Homeland Security|Judiciary
CA-47;Porter  Katie;D;1233 LHOB;(202) 225-5611;Oversight and Accountability|Natural Resources
CA-48;Issa  Darrell;R;2108 RHOB;(202) 225-5672;Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science  Space  and Technology
CA-49;Levin  Mike;D;2352 RHOB;(202) 225-3906;Natural Resources|Veterans' Affairs
CA-50;Peters  Scott;D;1201 LHOB;(202) 225-0508;Budget|Energy and Commerce
CA-51;Jacobs  Sara;D;1314 LHOB;(202) 225-2040;Armed Services|Foreign Affairs
CA-52;Vargas  Juan;D;2334 RHOB;(202) 225-8045;Financial Services
CO-01;DeGette  Diana;D;2111 RHOB;(202) 225-4431;Energy and Commerce
CO-02;Neguse  Joe;D;2400 RHOB;(202) 225-2161;Natural Resources|Judiciary|Rules
CO-03;Boebert  Lauren;R;1713 LHOB;(202) 225-4761;Oversight and Accountability|Natural Resources
CO-04;Buck  Ken;R;2455 RHOB;(202) 225-4676;Foreign Affairs|Judiciary
CO-05;Lamborn  Doug;R;2371 RHOB;(202) 225-4422;Armed Services|Natural Resources
CO-06;Crow  Jason;D;1323 LHOB;(202) 225-7882;Foreign Affairs|Intelligence
CO-07;Pettersen  Brittany;D;1230 LHOB;(202) 225-2645;Financial Services
CO-08;Caraveo  Yadira;D;1024 LHOB;(202) 225-5625;Agriculture|Science  Space  and Technology
CT-01;Larson  John;D;1501 LHOB;(202) 225-2265;Ways and Means
CT-02;Courtney  Joe;D;2449 RHOB;(202) 225-2076;Armed Services|Education and the Workforce
CT-03;DeLauro  Rosa;D;2413 RHOB;(202) 225-3661;Appropriations
CT-04;Himes  James;D;2137 RHOB;(202) 225-5541;Financial Services|Intelligence
CT-05;Hayes  Jahana;D;2458 RHOB;(202) 225-4476;Agriculture|Education and the Workforce
DE-01;Blunt Rochester  Lisa;D;1724 LHOB;(202) 225-4165;Energy and Commerce
FL-01;Gaetz  Matt;R;2021 RHOB;(202) 225-4136;Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary
FL-02;Dunn  Neal;R;466 CHOB;(202) 225-5235;Energy and Commerce|Select Comm on the Strategic Competition US and China
FL-03;Cammack  Kat;R;2421 RHOB;(202) 225-5744;Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce
FL-04;Bean  Aaron;R;1239 LHOB;(202) 225-0123;Education and the Workforce|Transportation and Infrastructure|Small Business
FL-05;Rutherford  John;R;1711 LHOB;(202) 225-2501;Appropriations|Ethics
FL-06;Waltz  Michael;R;244 CHOB;(202) 225-2706;Armed Services|Foreign Affairs|Intelligence
FL-07;Mills  Cory;R;1237 LHOB;(202) 225-4035;Armed Services|Foreign Affairs
FL-08;Posey  Bill;R;2150 RHOB;(202) 225-3671;Financial Services|Science  Space  and Technology
FL-09;Soto  Darren;D;2353 RHOB;(202) 225-9889;Agriculture|Energy and Commerce
FL-10;Frost  Maxwell;D;1224 LHOB;(202) 225-2176;Oversight and Accountability|Science  Space  and Technology
FL-11;Webster  Daniel;R;2184 RHOB;(202) 225-1002;Natural Resources|Transportation and Infrastructure|Science  Space  and Technology
FL-12;Bilirakis  Gus;R;2306 RHOB;(202) 225-5755;Energy and Commerce
FL-13;Luna  Anna Paulina;R;1017 LHOB;(202) 225-5961;Oversight and Accountability|Natural Resources
FL-14;Castor  Kathy;D;2052 RHOB;(202) 225-3376;Energy and Commerce|Select Comm on the Strategic Competition US and China
FL-15;Lee  Laurel;R;1118 LHOB;(202) 225-5626;House Administration|Homeland Security|Judiciary
FL-16;Buchanan  Vern;R;2110 RHOB;(202) 225-5015;Ways and Means
FL-17;Steube  W.;R;2457 RHOB;(202) 225-5792;Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means
FL-18;Franklin  C.;R;249 CHOB;(202) 225-1252;Appropriations|Science  Space  and Technology|Veterans' Affairs
FL-19;Donalds  Byron;R;1719 LHOB;(202) 225-2536;Financial Services|Oversight and Accountability
FL-20;Cherfilus-McCormick  Sheila;D;242 CHOB;(202) 225-1313;Foreign Affairs|Veterans' Affairs
FL-21;Mast  Brian;R;2182 RHOB;(202) 225-3026;Foreign Affairs|Transportation and Infrastructure
FL-22;Frankel  Lois;D;2305 RHOB;(202) 225-9890;Appropriations
FL-23;Moskowitz  Jared;D;1130 LHOB;(202) 225-3001;Foreign Affairs|Oversight and Accountability
FL-24;Wilson  Frederica;D;2080 RHOB;(202) 225-4506;Education and the Workforce|Transportation and Infrastructure
FL-25;Wasserman Schultz  Debbie;D;270 CHOB;(202) 225-7931;Appropriations|Select Subcommittee on the Weaponization of the Fed Govt
FL-26;Diaz-Balart  Mario;R;374 CHOB;(202) 225-4211;Appropriations
FL-27;Salazar  Maria;R;2162 RHOB;(202) 225-3931;Foreign Affairs|Small Business
FL-28;Gimenez  Carlos;R;448 CHOB;(202) 225-2778;Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China
GA-01;Carter  Earl;R;2432 RHOB;(202) 225-5831;Budget|Energy and Commerce
GA-02;Bishop  Sanford;D;2407 RHOB;(202) 225-3631;Appropriations
GA-03;Ferguson  A.;R;2239 RHOB;(202) 225-5901;Budget|Ways and Means
GA-04;Johnson  Henry;D;2240 RHOB;(202) 225-1605;Judiciary|Transportation and Infrastructure
GA-05;Williams  Nikema;D;1406 LHOB;(202) 225-3801;Financial Services
GA-06;McCormick  Richard;R;1213 LHOB;(202) 225-4272;Armed Services|Foreign Affairs|Science  Space  and Technology|Select Subcommittee on the Coronavirus Pandemic
GA-07;McBath  Lucy;D;2246 RHOB;(202) 225-4501;Education and the Workforce|Judiciary
GA-08;Scott  Austin;R;2185 RHOB;(202) 225-6531;Agriculture|Armed Services|Intelligence
GA-09;Clyde  Andrew;R;445 CHOB;(202) 225-9893;Appropriations
GA-10;Collins  Mike;R;1223 LHOB;(202) 225-4101;Natural Resources|Transportation and Infrastructure|Science  Space  and Technology
GA-11;Loudermilk  Barry;R;2133 RHOB;(202) 225-2931;Financial Services|House Administration
GA-12;Allen  Rick;R;462 CHOB;(202) 225-2823;Education and the Workforce|Energy and Commerce
GA-13;Scott  David;D;468 CHOB;(202) 225-2939;Agriculture|Financial Services
GA-14;Greene  Marjorie;R;403 CHOB;(202) 225-5211;Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic
HI-01;Case  Ed;D;2210 RHOB;(202) 225-2726;Appropriations|Natural Resources
HI-02;Tokuda  Jill;D;1005 LHOB;(202) 225-4906;Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic
ID-01;Fulcher  Russ;R;1514 LHOB;(202) 225-6611;Energy and Commerce|Natural Resources
ID-02;Simpson  Michael;R;2084 RHOB;(202) 225-5531;Appropriations
IL-01;Jackson  Jonathan;D;1641 LHOB;(202) 225-4372;Agriculture|Foreign Affairs
IL-02;Kelly  Robin;D;2329 RHOB;(202) 225-0773;Energy and Commerce
IL-03;Ramirez  Delia;D;1523 LHOB;(202) 225-5701;Homeland Security|Veterans' Affairs
IL-04;Garcia  Jesus;D;1519 LHOB;(202) 225-8203;Transportation and Infrastructure
IL-05;Quigley  Mike;D;2083 RHOB;(202) 225-4061;Appropriations
IL-06;Casten  Sean;D;2440 RHOB;(202) 225-4561;Financial Services|Science  Space  and Technology
IL-07;Davis  Danny;D;2159 RHOB;(202) 225-5006;Ways and Means
IL-08;Krishnamoorthi  Raja;D;2367 RHOB;(202) 225-3711;Oversight and Accountability|Intelligence|Select Comm on the Strategic Competition US and China
IL-09;Schakowsky  Janice;D;2408 RHOB;(202) 225-2111;Budget|Energy and Commerce
IL-10;Schneider  Bradley;D;300 CHOB;(202) 225-4835;Ways and Means
IL-11;Foster  Bill;D;2366 RHOB;(202) 225-3515;Financial Services
IL-12;Bost  Mike;R;352 CHOB;(202) 225-5661;Transportation and Infrastructure|Veterans' Affairs
IL-13;Budzinski  Nikki;D;1009 LHOB;(202) 225-2371;Agriculture|Veterans' Affairs
IL-14;Underwood  Lauren;D;1410 LHOB;(202) 225-2976;Appropriations
IL-15;Miller  Mary;R;1740 LHOB;(202) 225-5271;Agriculture|Education and the Workforce
IL-16;LaHood  Darin;R;1424 LHOB;(202) 225-6201;Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China
IL-17;Sorensen  Eric;D;1205 LHOB;(202) 225-5905;Agriculture|Science  Space  and Technology
IN-01;Mrvan  Frank;D;1607 LHOB;(202) 225-2461;Education and the Workforce|Veterans' Affairs
IN-02;Yakym  Rudy;R;349 CHOB;(202) 225-3915;Budget|Transportation and Infrastructure
IN-03;Banks  Jim;R;2418 RHOB;(202) 225-4436;Armed Services|Education and the Workforce|Select Comm on the Strategic Competition US and China
IN-04;Baird  James;R;2303 RHOB;(202) 225-5037;Agriculture|Foreign Affairs|Science  Space  and Technology
IN-05;Spartz  Victoria;R;1609 LHOB;(202) 225-2276;Judiciary
IN-06;Pence  Greg;R;404 CHOB;(202) 225-3021;Energy and Commerce
IN-07;Carson  Andre;D;2135 RHOB;(202) 225-4011;Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
IN-08;Bucshon  Larry;R;2313 RHOB;(202) 225-4636;Energy and Commerce
IN-09;Houchin  Erin;R;1632 LHOB;(202) 225-5315;Financial Services|Education and the Workforce|Rules
IA-01;Miller-Meeks  Mariannette;R;1034 LHOB;(202) 225-6576;Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs
IA-02;Hinson  Ashley;R;1717 LHOB;(202) 225-2911;Appropriations|Select Comm on the Strategic Competition US and China
IA-03;Nunn  Zachary;R;1232 LHOB;(202) 225-5476;Agriculture|Financial Services
IA-04;Feenstra  Randy;R;1440 LHOB;(202) 225-4426;Agriculture|Ways and Means
KS-01;Mann  Tracey;R;344 CHOB;(202) 225-2715;Agriculture|Transportation and Infrastructure|Small Business
KS-02;LaTurner  Jake;R;2441 RHOB;(202) 225-6601;Appropriations|Oversight and Accountability
KS-03;Davids  Sharice;D;2435 RHOB;(202) 225-2865;Agriculture|Transportation and Infrastructure|Small Business
KS-04;Estes  Ron;R;2234 RHOB;(202) 225-6216;Budget|Education and the Workforce|Ways and Means
KY-01;Comer  James;R;2410 RHOB;(202) 225-3115;Education and the Workforce|Oversight and Accountability
KY-02;Guthrie  Brett;R;2434 RHOB;(202) 225-3501;Energy and Commerce
KY-03;McGarvey  Morgan;D;1527 LHOB;(202) 225-5401;Small Business|Veterans' Affairs
KY-04;Massie  Thomas;R;2453 RHOB;(202) 225-3465;Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Transportation and Infrastructure|Rules
KY-05;Rogers  Harold;R;2406 RHOB;(202) 225-4601;Appropriations
KY-06;Barr  Andy;R;2430 RHOB;(202) 225-4706;Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
LA-01;Scalise  Steve;R;2049 RHOB;(202) 225-3015;
LA-02;Carter  Troy;D;442 CHOB;(202) 225-6636;Homeland Security|Transportation and Infrastructure
LA-03;Higgins  Clay;R;572 CHOB;(202) 225-2031;Oversight and Accountability|Homeland Security
LA-04;Johnson  Mike;R;568 CHOB;(202) 225-2777;Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary
LA-05;Letlow  Julia;R;142 CHOB;(202) 225-8490;Appropriations|Education and the Workforce
LA-06;Graves  Garret;R;2402 RHOB;(202) 225-3901;Natural Resources|Transportation and Infrastructure
ME-01;Pingree  Chellie;D;2354 RHOB;(202) 225-6116;Agriculture|Appropriations
ME-02;Golden  Jared;D;1710 LHOB;(202) 225-6306;Armed Services|Small Business
MD-01;Harris  Andy;R;1536 LHOB;(202) 225-5311;Appropriations
MD-02;Ruppersberger  C.;D;2206 RHOB;(202) 225-3061;Appropriations
MD-03;Sarbanes  John;D;2370 RHOB;(202) 225-4016;Energy and Commerce
MD-04;Ivey  Glenn;D;1529 LHOB;(202) 225-8699;Homeland Security|Judiciary|Ethics
MD-05;Hoyer  Steny;D;1705 LHOB;(202) 225-4131;Appropriations
MD-06;Trone  David;D;2404 RHOB;(202) 225-2721;Appropriations|Budget
MD-07;Mfume  Kweisi;D;2263 RHOB;(202) 225-4741;Oversight and Accountability|Small Business|Select Subcommittee on the Coronavirus Pandemic
MD-08;Raskin  Jamie;D;2242 RHOB;(202) 225-5341;Oversight and Accountability
MA-01;Neal  Richard;D;372 CHOB;(202) 225-5601;Ways and Means
MA-02;McGovern  James;D;370 CHOB;(202) 225-6101;Agriculture|Rules
MA-03;Trahan  Lori;D;2439 RHOB;(202) 225-3411;Energy and Commerce
MA-04;Auchincloss  Jake;D;1524 LHOB;(202) 225-5931;Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
MA-05;Clark  Katherine;D;2368 RHOB;(202) 225-2836;
MA-06;Moulton  Seth;D;1126 LHOB;(202) 225-8020;Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China
MA-07;Pressley  Ayanna;D;402 CHOB;(202) 225-5111;Financial Services
MA-08;Lynch  Stephen;D;2109 RHOB;(202) 225-8273;Financial Services|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability
MA-09;Keating  William;D;2351 RHOB;(202) 225-3111;Armed Services|Foreign Affairs
MI-01;Bergman  Jack;R;566 CHOB;(202) 225-4735;Armed Services|Budget|Veterans' Affairs
MI-02;Moolenaar  John;R;246 CHOB;(202) 225-3561;Appropriations|Select Comm on the Strategic Competition US and China
MI-03;Scholten  Hillary;D;1317 LHOB;(202) 225-3831;Transportation and Infrastructure|Small Business
MI-04;Huizenga  Bill;R;2232 RHOB;(202) 225-4401;Financial Services|Foreign Affairs
MI-05;Walberg  Tim;R;2266 RHOB;(202) 225-6276;Education and the Workforce|Energy and Commerce
MI-06;Dingell  Debbie;D;102 CHOB;(202) 225-4071;Energy and Commerce|Natural Resources|Select Subcommittee on the Coronavirus Pandemic
MI-07;Slotkin  Elissa;D;2245 RHOB;(202) 225-4872;Agriculture|Armed Services
MI-08;Kildee  Daniel;D;200 CHOB;(202) 225-3611;Budget|Ways and Means
MI-09;McClain  Lisa;R;444 CHOB;(202) 225-2106;Armed Services|Budget|Education and the Workforce|Oversight and Accountability
MI-10;James  John;R;1319 LHOB;(202) 225-4961;Education and the Workforce|Foreign Affairs|Transportation and Infrastructure
MI-11;Stevens  Haley;D;2411 RHOB;(202) 225-8171;Education and the Workforce|Science  Space  and Technology|Select Comm on the Strategic Competition US and China
MI-12;Tlaib  Rashida;D;2438 RHOB;(202) 225-5126;Financial Services
MI-13;Thanedar  Shri;D;1039 LHOB;(202) 225-5802;Homeland Security|Small Business
MN-01;Finstad  Brad;R;1605 LHOB;(202) 225-2472;Agriculture|Armed Services
MN-15;Craig  Angie;D;2442 RHOB;(202) 225-2271;Agriculture|Energy and Commerce
MN-16;Phillips  Dean;D;2452 RHOB;(202) 225-2871;Foreign Affairs|Small Business
MN-17;McCollum  Betty;D;2426 RHOB;(202) 225-6631;Appropriations
MN-18;Omar  Ilhan;D;1730 LHOB;(202) 225-4755;Budget|Education and the Workforce
MN-19;Emmer  Tom;R;464 CHOB;(202) 225-2331;Financial Services
MN-20;Fischbach  Michelle;R;1004 LHOB;(202) 225-2165;Budget|Rules|Ethics|Ways and Means
MN-21;Stauber  Pete;R;145 CHOB;(202) 225-6211;Natural Resources|Transportation and Infrastructure|Small Business
MS-01;Kelly  Trent;R;2243 RHOB;(202) 225-4306;Agriculture|Armed Services|Intelligence
MS-02;Thompson  Bennie;D;2466 RHOB;(202) 225-5876;Homeland Security
MS-03;Guest  Michael;R;450 CHOB;(202) 225-5031;Appropriations|Homeland Security|Ethics
MS-04;Ezell  Mike;R;443 CHOB;(202) 225-5772;Homeland Security|Transportation and Infrastructure
MO-01;Bush  Cori;D;2463 RHOB;(202) 225-2406;Oversight and Accountability|Judiciary
MO-02;Wagner  Ann;R;2350 RHOB;(202) 225-1621;Financial Services|Foreign Affairs
MO-03;Luetkemeyer  Blaine;R;2230 RHOB;(202) 225-2956;Financial Services|Small Business|Select Comm on the Strategic Competition US and China
MO-04;Alford  Mark;R;1516 LHOB;(202) 225-2876;Agriculture|Armed Services|Small Business
MO-05;Cleaver  Emanuel;D;2217 RHOB;(202) 225-4535;Financial Services
MO-06;Graves  Sam;R;1135 LHOB;(202) 225-7041;Armed Services|Transportation and Infrastructure
MO-07;Burlison  Eric;R;1108 LHOB;(202) 225-6536;Education and the Workforce|Oversight and Accountability|Transportation and Infrastructure
MO-08;Smith  Jason;R;1011 LHOB;(202) 225-4404;Ways and Means
MT-01;Zinke  Ryan;R;512 CHOB;(202) 225-5628;Appropriations|Science  Space  and Technology
MT-02;Rosendale  Matthew;R;1023 LHOB;(202) 225-3211;Natural Resources|Veterans' Affairs
NE-01;Flood  Mike;R;343 CHOB;(202) 225-4806;Financial Services
NE-02;Bacon  Don;R;2104 RHOB;(202) 225-4155;Agriculture|Armed Services
NE-03;Smith  Adrian;R;502 CHOB;(202) 225-6435;Ways and Means
NV-01;Titus  Dina;D;2464 RHOB;(202) 225-5965;Foreign Affairs|Homeland Security|Transportation and Infrastructure
NV-02;Amodei  Mark;R;104 CHOB;(202) 225-6155;Appropriations
NV-03;Lee  Susie;D;365 CHOB;(202) 225-3252;Appropriations|Natural Resources
NV-04;Horsford  Steven;D;406 CHOB;(202) 225-9894;Armed Services|Financial Services
NH-01;Pappas  Chris;D;452 CHOB;(202) 225-5456;Transportation and Infrastructure|Small Business|Veterans' Affairs
NH-02;Kuster  Ann;D;2201 RHOB;(202) 225-5206;Energy and Commerce
NJ-01;Norcross  Donald;D;2427 RHOB;(202) 225-6501;Armed Services|Education and the Workforce
NJ-02;Van Drew  Jefferson;R;2447 RHOB;(202) 225-6572;Judiciary|Transportation and Infrastructure
NJ-03;Kim  Andy;D;2444 RHOB;(202) 225-4765;Armed Services|Foreign Affairs|Select Comm on the Strategic Competition US and China
NJ-04;Smith  Christopher;R;2373 RHOB;(202) 225-3765;Foreign Affairs
NJ-05;Gottheimer  Josh;D;203 CHOB;(202) 225-4465;Financial Services|Intelligence
NJ-06;Pallone  Frank;D;2107 RHOB;(202) 225-4671;Energy and Commerce
NJ-07;Kean  Thomas;R;251 CHOB;(202) 225-5361;Foreign Affairs|Transportation and Infrastructure|Science  Space  and Technology
NJ-08;Menendez  Robert;D;1007 LHOB;(202) 225-7919;Homeland Security|Transportation and Infrastructure
NJ-09;Pascrell  Bill;D;2409 RHOB;(202) 225-5751;Ways and Means
NJ-10;Payne  Donald;D;106 CHOB;(202) 225-3436;Homeland Security|Transportation and Infrastructure
NJ-11;Sherrill  Mikie;D;1427 LHOB;(202) 225-5034;Armed Services|Select Comm on the Strategic Competition US and China
NJ-12;Watson Coleman  Bonnie;D;168 CHOB;(202) 225-5801;Appropriations
NM-01;Stansbury  Melanie;D;1421 LHOB;(202) 225-6316;Oversight and Accountability|Natural Resources
NM-02;Vasquez  Gabe;D;1517 LHOB;(202) 225-2365;Agriculture|Armed Services
NM-03;Leger Fernandez  Teresa;D;1510 LHOB;(202) 225-6190;Education and the Workforce|Natural Resources|Rules
NY-01;LaLota  Nick;R;1530 LHOB;(202) 225-3826;Armed Services|Homeland Security|Small Business
NY-02;Garbarino  Andrew;R;2344 RHOB;(202) 225-7896;Financial Services|Homeland Security|Ethics
NY-03;Santos  George;R;1117 LHOB;(202) 225-3335;
NY-04;D'Esposito  Anthony;R;1508 LHOB;(202) 225-5516;House Administration|Homeland Security|Transportation and Infrastructure
NY-05;Meeks  Gregory;D;2310 RHOB;(202) 225-3461;Financial Services|Foreign Affairs
NY-06;Meng  Grace;D;2209 RHOB;(202) 225-2601;Appropriations
NY-07;Velazquez  Nydia;D;2302 RHOB;(202) 225-2361;Financial Services|Natural Resources|Small Business
NY-08;Jeffries  Hakeem;D;2433 RHOB;(202) 225-5936;
NY-09;Clarke  Yvette;D;2058 RHOB;(202) 225-6231;Homeland Security|Energy and Commerce
NY-10;Goldman  Daniel;D;245 CHOB;(202) 225-7944;Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability|Homeland Security
NY-11;Malliotakis  Nicole;R;351 CHOB;(202) 225-3371;Select Subcommittee on the Coronavirus Pandemic|Ways and Means
NY-12;Nadler  Jerrold;D;2132 RHOB;(202) 225-5635;Judiciary
NY-13;Espaillat  Adriano;D;2332 RHOB;(202) 225-4365;Appropriations|Budget
NY-14;Ocasio-Cortez  Alexandria;D;250 CHOB;(202) 225-3965;Oversight and Accountability|Natural Resources
NY-15;Torres  Ritchie;D;1414 LHOB;(202) 225-4361;Financial Services|Select Comm on the Strategic Competition US and China
NY-16;Bowman  Jamaal;D;345 CHOB;(202) 225-2464;Education and the Workforce|Science  Space  and Technology
NY-17;Lawler  Michael;R;1013 LHOB;(202) 225-6506;Financial Services|Foreign Affairs
NY-18;Ryan  Patrick;D;1030 LHOB;(202) 225-5614;Armed Services|Transportation and Infrastructure
