Zipcode,State,DisNum,PortCode
58844,ND,0,3417
8861,NJ,6,4602
58765,ND,0,3420
58833,ND,0,3410
59404,MT,0,3304
83826,ID,1,3302
88008,NM,2,2408
12919,NY,21,712
14210,NY,26,901
59901,MT,0,3324
70809,LA,6,2004
98230,WA,1,3004
98295,WA,1,3009
58203,ND,0,3427
13607,NY,21,708
13618,NY,21,706
59537,MT,0,3319
7201,NJ,8,4601
12926,NY,21,715
58801,MT,0,3433
58801,ND,0,3433
88029,NM,2,2406
968,PR,0,4909
59484,MT,0,3310
70363,LA,1,2001
58339,ND,0,3415
58703,ND,0,3434
98424,WA,9,3002
98424,WA,8,3002
98424,WA,10,3002
98632,WA,3,2905
98632,OR,1,2905
72202,AR,2,2003
59250,MT,0,3317
59256,MT,0,3301
13669,NY,21,701
44004,OH,14,4122
45377,OH,10,4104
43125,OH,15,4103
43125,OH,3,4103
44130,OH,16,4101
44130,OH,9,4101
43452,OH,9,4105
43452,OH,5,4105
41018,KY,4,4102
40510,KY,6,4184
19720,DE,0,1103
5476,VT,0,203
39503,MS,4,1902
5478,VT,0,201
39232,MS,3,2015
17055,PA,4,1109
17055,PA,11,1109
5907,VT,0,211
5902,VT,0,206
5403,VT,0,207
2128,MA,7,417
2128,MA,5,417
2740,MA,9,407
2740,MA,9,405
2740,MA,9,406
1608,MA,2,403
5830,VT,0,209
38118,TN,9,2006
19106,PA,1,1101
37902,TN,2,2016
37617,TN,1,2027
37421,TN,3,2008
30354,GA,5,1704
31520,GA,1,1701
31405,GA,1,1703
16505,PA,3,4106
36602,AL,1,1901
22630,VA,10,1410
22630,VA,5,1410
22630,VA,6,1410
24084,VA,9,1412
64153,MO,6,4501
23250,VA,3,1404
23510,VA,3,1401
65803,MO,7,4505
3801,NH,1,131
3103,NH,1,182
4631,ME,2,103
4619,ME,2,115
4619,ME,2,122
4491,ME,2,105
4106,ME,1,111
4106,ME,1,101
4945,ME,2,104
35824,AL,5,1910
63134,MO,1,4503
63005,MO,2,4506
29577,SC,7,1681
29401,SC,1,1601
29401,SC,6,1601
29170,SC,2,1604
29650,SC,4,1603
50321,IA,3,3513
27409,NC,12,1502
27409,NC,6,1502
27560,NC,1,1503
27560,NC,2,1503
27560,NC,4,1503
27560,NC,13,1503
68110,NE,2,3512
28401,NC,7,1501
28401,NC,3,1501
82604,WY,0,3332
67209,KS,4,4504
78577,TX,34,2305
78577,TX,15,2305
80012,CO,1,3384
80012,CO,6,3384
80249,CO,1,3307
81637,CO,3,3385
28217,NC,9,1512
28217,NC,12,1512
80021,CO,2,3383
80021,CO,7,3383
56623,MN,7,3424
56623,MN,8,3424
55605,MN,8,3613
56735,MN,7,3430
53404,WI,1,3708
56751,MN,7,3425
56751,MN,7,3426
56763,MN,7,3423
54914,WI,6,3781
54914,WI,8,3781
54313,WI,8,3703
